energy_eV,sample_background_counts_fit,ob_background_counts_fit
0.120816124125,342.372961722,395.519716662
0.121280208474,342.30735331,395.439765521
0.121746075486,342.245633615,395.363387825
0.122213732007,342.187852009,395.290635819
0.122683184911,342.134057533,395.221561414
0.123154441099,342.084298897,395.156216179
0.123627507497,342.038624485,395.09465135
0.12410239106,341.997082356,395.036917826
0.124579098767,341.959720249,394.983066177
0.125057637624,341.926585583,394.933146637
0.125538014667,341.897725464,394.887209114
0.126020236956,341.87318668,394.845303184
0.126504311579,341.853015715,394.807478102
0.126990245651,341.837258743,394.773782794
0.127478046315,341.825961635,394.744265866
0.127967720741,341.819169962,394.718975604
0.128459276127,341.816928997,394.697959975
0.128952719697,341.819283719,394.68126663
0.129448058705,341.826278817,394.668942905
0.129945300431,341.837958692,394.661035827
0.130444452185,341.85436746,394.657592111
0.130945521303,341.875548957,394.658658166
0.131448515151,341.901546742,394.664280097
0.131953441121,341.9324041,394.674503706
0.132460306635,341.968164043,394.689374496
0.132969119145,342.00886932,394.708937671
0.133479886127,342.054562413,394.733238143
0.133992615091,342.105285546,394.762320529
0.134507313573,342.161080686,394.796229159
0.135023989138,342.221989546,394.835008075
0.13554264938,342.28805359,394.878701036
0.136063301923,342.359314037,394.927351517
0.136585954421,342.435811864,394.981002718
0.137110614554,342.517587806,395.039697559
0.137637290036,342.604682367,395.103478691
0.138165988608,342.697135817,395.172388491
0.13869671804,342.794988199,395.246469072
0.139229486134,342.898279331,395.325762278
0.139764300722,343.00704881,395.410309695
0.140301169663,343.121336016,395.500152649
0.140840100849,343.241180115,395.595332207
0.141381102202,343.366620064,395.695889188
0.141924181674,343.497694611,395.801864155
0.142469347247,343.634442304,395.913297427
0.143016606935,343.776901488,396.030229077
0.143565968781,343.925110315,396.152698938
0.144117440861,344.079106741,396.2807466
0.144671031281,344.238928537,396.414411422
0.145226748177,344.404613284,396.553732527
0.145784599717,344.576198384,396.698748807
0.146344594103,344.753721058,396.849498929
0.146906739564,344.937218352,397.006021333
0.147471044363,345.126727139,397.16835424
0.148037516796,345.322284125,397.336535648
0.148606165188,345.523925848,397.510603343
0.149176997898,345.731688685,397.690594896
0.149750023316,345.945608853,397.876547667
0.150325249866,346.165722414,398.068498808
0.150902686001,346.392065276,398.266485268
0.15148234021,346.624673197,398.470543791
0.152064221014,346.863581788,398.680710923
0.152648336964,347.108826519,398.897023014
0.153234696646,347.360442716,399.119516217
0.15382330868,347.618465568,399.348226494
0.154414181717,347.88293013,399.583189621
0.155007324443,348.153871324,399.824441184
0.155602745574,348.431323942,400.072016585
0.156200453865,348.715322653,400.325951048
0.156800458099,349.005901998,400.586279614
0.157402767097,349.303096398,400.85303715
0.158007389711,349.606940158,401.126258348
0.158614334829,349.917467463,401.405977728
0.159223611372,350.234712389,401.692229641
0.159835228296,350.558708896,401.985048271
0.16044919459,350.88949084,402.284467636
0.161065519279,351.227091968,402.590521593
0.161684211422,351.571545924,402.903243838
0.162305280114,351.92288625,403.222667908
0.162928734482,352.281146389,403.548827184
0.163554583692,352.646359686,403.881754893
0.164182836942,353.018559391,404.22148411
0.164813503466,353.39777866,404.568047759
0.165446592536,353.784050559,404.921478616
0.166082113455,354.177408063,405.281809311
0.166720075567,354.577884059,405.64907233
0.167360488247,354.98551135,406.023300014
0.168003360909,355.400322654,406.404524564
0.168648703003,355.822350604,406.792778043
0.169296524014,356.251627755,407.188092373
0.169946833464,356.68818658,407.590499342
0.170599640912,357.132059477,408.000030602
